True_depth(m),Y_dimension(mm),meas,Button,Button_raw
27.6446421875,73.719,1.54751e-08,0.0,0.0
27.6443921875,73.719,1.53447e-08,0.0,0.0
27.6441421875,73.719,1.55152e-08,0.0,0.0
27.6438921875,73.719,1.53813e-08,0.0,0.0
27.6436421875,73.719,1.55461e-08,0.0,0.0
27.6433921875,73.719,1.55225e-08,0.0,0.0
27.6431421875,73.719,1.54502e-08,0.0,0.0
27.6428921875,73.719,1.543385e-08,0.0,0.0
27.6426421875,73.719,1.55454e-08,0.0,0.0
27.6423921875,73.719,1.52148e-08,0.0,0.0
27.6421421875,73.719,1.52799e-08,0.0,0.0
27.6418921875,73.719,1.53859e-08,0.0,0.0
27.6416421875,73.719,1.572195e-08,0.0,0.0
27.6413921875,73.719,1.53205e-08,0.0,0.0
27.6411421875,73.719,1.5118e-08,0.0,0.0
27.6408921875,73.719,1.52116e-08,0.0,0.0
27.6406421875,73.719,1.51366e-08,0.0,0.0
27.6403921875,73.719,1.500725e-08,0.0,0.0
27.6401421875,73.719,1.53031e-08,0.0,0.0
27.6398921875,73.719,1.49498e-08,0.0,0.0
27.6396421875,73.719,1.47967e-08,0.0,0.0
27.6393921875,73.719,1.48686e-08,0.0,0.0
27.6391421875,73.719,1.50185e-08,0.0,0.0
27.6388921875,73.719,1.465275e-08,0.0,0.0
27.6386421875,73.719,1.480745e-08,0.0,0.0
27.6383921875,73.719,1.46115e-08,0.0,0.0
27.6381421875,73.719,1.50874e-08,0.0,0.0
27.6378921875,73.719,1.48186e-08,0.0,0.0
27.6376421875,73.719,1.462625e-08,0.0,0.0
27.6373921875,73.719,1.45149e-08,0.0,0.0
27.6371421875,73.719,1.46449e-08,0.0,0.0
27.6368921875,73.719,1.4608e-08,0.0,0.0
27.6366421875,73.719,1.445075e-08,0.0,0.0
27.6363921875,73.719,1.458985e-08,0.0,0.0
27.6361421875,73.719,1.43738e-08,0.0,0.0
27.6358921875,73.719,1.4767950000000001e-08,0.0,0.0
27.6356421875,73.719,1.44626e-08,0.0,0.0
27.6353921875,73.719,1.453755e-08,0.0,0.0
27.6351421875,73.719,1.47163e-08,0.0,0.0
27.6348921875,73.719,1.45629e-08,0.0,0.0
27.6346421875,73.719,1.436445e-08,0.0,0.0
27.6343921875,73.719,1.44383e-08,0.0,0.0
27.6341421875,73.719,1.42173e-08,0.0,0.0
27.6338921875,73.719,1.432325e-08,0.0,0.0
27.6336421875,73.719,1.464795e-08,0.0,0.0
27.6333921875,73.719,1.42439e-08,0.0,0.0
