Depth (cm),FlowThrough (mL),FlowRate (mL/min),Liquid Conductivity,Dust Concentration,x1_m (ppb),x1_1_m (ppb),x1_2_m (ppb),x1_3_m (ppb),x1_4_m (ppb),x1_5_m (ppb),x1_6_m (ppb),x1_7_m (ppb),x1_8_m (ppb),x1_9_m (ppb),x2_0_m (ppb),x2_1_m (ppb),x2_2_m (ppb),x2_3_m (ppb),x2_4_m (ppb),x2_5_m (ppb),x2_7_m (ppb),x2_9_m (ppb),x3_2_m (ppb),x3_6_m (ppb),x4_0_m (ppb),x4_5_m (ppb),x5_1_m (ppb),x5_7_m (ppb),x6_4_m (ppb),x7_2_m (ppb),x8_1_m (ppb),x9_0_m (ppb),x10_0_m (ppb),x12_0_m (ppb)
0.381090478,0.034428447,2.9468,1.83,909.999827,2.332956028,1.842046721,1.366558649,0.608110691,1.410528939,1.334529931,1.295700053,3.885360327,1.844854177,1.356080118,0.632666041,2.929560105,2.526235503,4.329926846,4.372987678,7.414055173,5.448084991,5.786284532,7.774200317,18.44854177,30.36796999,36.03230814,62.9428373,43.93699583,114.0216046,88.55300049,126.0842526,172.9550791,158.1665104,1844.854177
0.430628022,0.070742667,4.9936,1.78,1790.334187,3.406150318,3.509046847,3.159060091,2.367601615,1.900978265,2.597911259,2.522321663,2.836341781,2.469054861,3.167835258,4.926409499,5.702934796,4.507972592,3.980365681,4.788470033,10.2232619,10.98448839,16.89612205,29.00669913,32.32217272,45.56928786,63.1292436,102.1083041,128.2973279,161.4285865,229.8465616,194.3118118,252.5169744,461.8508905,3857.378638
0.51101762,0.05963096,5.1406,1.75,978.6884755,3.036349853,2.825928525,3.037628316,1.855803332,2.004630134,1.078703237,2.244250646,1.570272297,1.597713595,2.505422393,1.826375851,2.537110014,5.104903142,3.05545831,2.524781977,6.777566635,7.189711176,8.908696127,12.71742033,15.97713595,26.29981226,58.2499748,54.51088118,59.19060403,59.84668389,76.69025254,121.3263761,183.0713494,251.1266795,2485.332258
0.545281367,0.05190128,4.5728,1.77,113.3467896,2.754122167,2.199441962,1.722349314,1.786428556,1.223564675,0.973778909,1.181806937,1.159800189,1.376746327,0.719639007,1.259027276,1.214567876,1.675765305,1.276548739,1.087799567,2.868877257,4.13023898,3.83830203,6.875967632,3.671323538,8.393515175,11.95092297,6.958801134,9.715126599,13.75193526,19.5803922,0,0,0,45.32498195
0.57096669,0.054037153,4.6718,1.78,143.0220982,3.426245012,3.118462399,2.220206768,1.328375345,1.382590634,0.850263008,1.857427884,1.113957909,1.763105374,2.246382272,3.023157363,1.866497356,2.14603864,1.226091855,2.089606369,3.936402817,1.983493546,7.987610034,6.604188032,10.57863225,3.224701187,2.295710123,13.36749491,13.99668954,13.20837606,9.403228663,26.77716287,0,0,0
0.6018517,0.059973867,5.1776,1.72,138.9984401,2.633103375,2.900408766,2.039656352,1.695582378,1.058870743,0.919316264,0.743806305,1.561294106,1.456196963,2.491097386,1.45274669,1.891952872,1.691905113,1.657084591,0.941379855,3.546744848,2.680726227,4.428879876,6.694256745,8.472418693,7.263733448,6.205384785,15.05533602,8.407453677,5.95045044,0,12.06326802,33.09538552,0,78.44832124
0.636527479,0.040670713,3.5162,1.7,188.3281444,3.380738305,3.608720569,2.77635602,0.808933689,1.010338663,0.677821294,0.959728007,1.315609291,1.366487729,0.688766853,2.945593771,1.239961087,2.494917924,2.850832681,2.313630017,4.707092319,1.976526893,9.796375429,9.87148807,12.49360209,12.85350009,12.20078329,35.52145085,12.39780335,0,12.49360209,35.57748407,0,0,0
0.666978209,0.05894656,5.0816,1.69,184.5887017,3.163982493,2.858739014,1.516494499,1.167001455,1.330812607,1.714786132,1.324346074,1.4750394,1.212197906,2.376104663,2.217097221,3.635970159,1.721391234,2.528945802,1.277048,5.051979346,2.727445288,9.012130689,7.567691849,8.620073997,5.912259257,8.418041013,15.31771685,17.10795357,18.16246044,17.24014799,0,16.83608203,23.09476272,39.90774999
0.702290749,0.043641493,3.7568,1.65,210.2299094,4.491949441,3.653701765,2.533459485,2.604270077,1.797528435,1.05280065,1.533252076,1.992335548,2.546935333,1.497722004,1.49731648,2.888884984,3.653701765,2.277231202,4.312271463,5.361484793,1.841980018,4.564756455,11.24384856,20.37548266,9.982109869,28.42561756,16.5517107,17.33078318,16.35468881,23.2862659,16.57782016,0,0,53.90339329
0.733610074,0.05606976,4.9184,1.61,163.4552217,3.884751614,3.813320744,2.559274363,2.720467275,1.532340274,1.884711525,1.889543185,1.431433851,1.274392767,1.498810012,1.553900646,2.473397073,2.326771979,2.363288644,1.342570158,6.449294671,5.256870164,5.921575444,11.13835983,13.59352285,7.769503228,13.27492466,16.10363082,35.97144028,6.364777044,9.062348565,0,0,0,125.8659523
