Depth (cm),FlowThrough (mL),FlowRate (mL/min),Conductivity (µS),Dust Concentration (<12 µm),x1_m (ppb),x1_1_m (ppb),x1_2_m (ppb),x1_3_m (ppb),x1_4_m (ppb),x1_5_m (ppb),x1_6_m (ppb),x1_7_m (ppb),x1_8_m (ppb),x1_9_m (ppb),x2_0_m (ppb),x2_1_m (ppb),x2_2_m (ppb),x2_3_m (ppb),x2_4_m (ppb),x2_5_m (ppb),x2_7_m (ppb),x2_9_m (ppb),x3_2_m (ppb),x3_6_m (ppb),x4_0_m (ppb),x4_5_m (ppb),x5_1_m (ppb),x5_7_m (ppb),x6_4_m (ppb),x7_2_m (ppb),x8_1_m (ppb),x9_0_m (ppb),x10_0_m (ppb),x12_0_m (ppb)
3.982374518,0.062939707,5.4572,1.77,49.86826397,1.514067704,1.237923384,1.121275282,0.760321542,0.474811632,0.437998157,0.08859459,0.31879777,0.378430408,0.890142033,0.519108927,2.003111572,1.612179291,0.263166596,0.897020226,2.027769246,0.851468418,1.582568453,2.126270165,3.027443263,0,5.912975122,5.738359857,8.011278294,0,8.073182034,0,0,0,37.37584275
4.011116577,0.051042693,4.5104,1.78,47.62870512,1.706940417,1.384462033,1.152184782,0.820344896,0.585480563,0.720115489,0.65546512,0.65517174,1.244359564,0.548808015,0.640102656,0.98799845,0.851976636,1.298021504,1.843495651,1.250200501,2.099856765,2.601910615,4.369767468,1.244359564,5.120821252,2.430389774,3.537927395,9.878544272,0,0,0,0,0,46.08739127
4.040846041,0.045281187,3.9148,1.73,119.7214297,1.593419179,1.800713995,1.454641388,1.254982958,0.989964278,0.811741846,0.492576978,0.738534757,0.701344955,0.824849973,1.443096615,1.670564719,1.28050773,1.828974637,2.078059125,3.288306088,2.367039222,5.13270382,3.940615823,7.013449548,7.696515279,8.218886189,7.976175377,16.70321196,0,22.44303855,15.97751475,0,0,103.9029563
4.069872683,0.036514533,3.166,1.78,109.5752452,2.311521329,1.836056305,1.159638055,0.819098768,0.30691038,0.377486346,0.763547691,1.099016544,1.522024947,1.022885471,1.193043267,0.345274178,0.793970294,1.360852259,0.515394691,1.747621973,1.467666914,2.727856147,0,0,2.386086533,10.19213134,4.945574449,0,9.773410441,13.91565666,19.81350333,27.17901692,0,0
4.099793118,0.051590907,4.4732,1.76,96.26929816,1.451314384,1.65072498,1.09434382,0.811627778,0.579259152,0.712463425,0.864666722,0.90749369,1.385028898,0.72396839,1.05550137,1.466249728,1.404872323,1.605285646,1.459125094,1.649220891,2.596929183,1.287131146,6.052667056,4.924547192,3.377604384,0,10.50099842,9.77357326,0,19.69818877,0,19.23651247,0,45.59765918
4.129245758,0.035110827,2.9924,1.77,73.88581433,2.32638809,1.857853529,1.674999425,0.766661195,0.744754374,1.046874641,1.429332843,1.714431703,0.904499689,2.127559455,1.240740315,1.795390009,0.825712679,0.943505463,1.071999632,3.029151159,2.289514839,1.891275971,1.270518082,7.235997516,17.37036441,0,0,0,20.32828932,0,0,0,0,0
4.161364246,0.041474,3.56,1.78,87.4410637,1.542744138,1.791257242,1.191129772,1.153841318,0.900699982,0.664692953,1.210036594,0.967595994,0.957157852,0.675426513,0.787784241,1.215944975,1.048540824,1.996868928,2.268818613,1.538641095,2.584326202,5.603870372,1.075588083,3.062905128,0,2.991118289,4.354181971,0,0,0,0,47.85789262,0,56.72046533
4.191422605,0.059530347,5.1916,1.75,59.55159313,1.440701831,0.974005911,1.145975399,0.602899414,0.43925398,0.385902276,0.749347898,0.561759373,0.133367827,0.627414213,0.731785057,1.482482184,0.243501478,1.391191998,0.316131145,2.858535379,2.700698489,3.346407329,2.248043695,0,1.463570114,8.335489165,6.067001225,4.23504594,0,17.07108181,0,0,0,0
4.220164442,0.060372603,5.3506,1.77,35.14514549,1.420602636,1.230535023,1.091022825,0.148622095,0.495001096,0.608829701,0.554170324,0.664706738,0.657536077,0.46399588,0.721575942,0.417657175,0.960417579,0,0.623441614,1.056996009,0.887673704,1.099907228,3.694468824,2.104115447,5.772607537,2.054800242,0,0,0,8.416461789,0,0,0,0
4.243330457,0.047188983,4.039,1.75,83.40009049,1.442451946,1.535922832,1.29612962,0.507050708,0.949941153,0.973655063,0.472662654,0.708676641,1.177733165,0.791502232,1.153961557,1.870196646,1.228738265,0.351006256,1.595236456,1.803064932,1.135671266,3.517996051,2.835975922,2.691961519,5.539015472,0,3.826853861,0,0,0,45.99468627,0,0,149.5534177
