Depth (cm),FlowThrough (mL),FlowRate (mL/min),Liquid Conductivity,Dust Concentration,x1_m (ppb),x1_1_m (ppb),x1_2_m (ppb),x1_3_m (ppb),x1_4_m (ppb),x1_5_m (ppb),x1_6_m (ppb),x1_7_m (ppb),x1_8_m (ppb),x1_9_m (ppb),x2_0_m (ppb),x2_1_m (ppb),x2_2_m (ppb),x2_3_m (ppb),x2_4_m (ppb),x2_5_m (ppb),x2_7_m (ppb),x2_9_m (ppb),x3_2_m (ppb),x3_6_m (ppb),x4_0_m (ppb),x4_5_m (ppb),x5_1_m (ppb),x5_7_m (ppb),x6_4_m (ppb),x7_2_m (ppb),x8_1_m (ppb),x9_0_m (ppb),x10_0_m (ppb),x12_0_m (ppb)
1.369626464,0.074410347,5.3024,1.76,189.3023057,1.628278352,1.680218602,1.327796963,1.36661951,1.506066,1.049690679,1.273935711,1.078615489,1.387073613,1.505846457,0.731810495,1.69432425,0.974039769,1.112992287,1.011654829,2.001044324,2.880845196,4.908234698,7.193989895,11.0965889,3.512690378,8.335778925,12.13442425,20.32892716,9.591986526,13.65734019,19.44570508,0,54.88578716,221.2994938
1.409969622,0.051970643,4.4738,1.74,337.6655651,2.121772891,2.649753809,2.082166463,1.208546122,1.365688289,0.972479242,1.394816826,1.673031022,0.916605889,1.976365961,0.838231265,1.69812557,1.952450175,1.59355622,1.448463627,3.683633491,2.06236325,6.388631979,6.866790527,10.99927067,6.705850124,21.48295052,13.89902695,38.80864069,41.20074316,29.33138844,41.76285581,38.19191203,52.38945409,1222.141185
1.449625557,0.0261487,2.2738,1.74,653.721995,3.540224314,2.494608651,2.429010377,2.6307511,2.285735416,1.757096627,2.345710981,2.046249654,3.643515565,1.07128229,2.915478847,0.964294629,4.434859823,2.533759367,2.159120335,4.067353302,7.173171268,8.8882017,13.64777298,19.43208301,23.32383078,14.23248268,20.71827774,48.20770305,81.88663788,77.72833205,55.33589264,189.7664357,52.06212227,2069.156987
1.488831011,0.042396853,3.6974,1.72,297.8911531,2.472458841,2.051434422,1.442631569,1.340361681,0.792984981,0.650224565,1.446741631,1.419801462,1.872646749,1.982173464,2.311909566,3.865801783,1.367622948,1.953403034,1.775546547,3.010298914,2.52807311,14.0962906,11.57393305,10.48682179,18.49527653,8.778031634,4.259404387,11.89304079,25.25221755,23.96987838,17.0644935,23.40808436,96.32956525,554.8582959
1.519759752,0.045695853,3.9112,1.72,228.9040234,2.413127102,2.379164573,2.419562108,1.636308717,1.553219686,0.804375701,1.098240957,0.585466343,1.042470908,1.430388538,3.813336655,1.103603461,1.268887772,2.174853145,0.823680718,5.585942366,3.518339315,3.632947957,12.69078439,15.28957332,9.533341639,16.28860794,15.80759127,16.55163879,23.42914041,44.47875875,15.83252692,21.71814392,0,514.8004485
1.55911002,0.05118246,4.4766,1.71,204.7675887,2.101250868,1.982516895,1.838461519,1.168721052,1.31373396,1.077223546,1.416296281,0.784059153,1.396081716,0.91218226,1.489494286,1.231625588,1.699300196,2.588953854,2.206153823,4.571550544,2.617653218,1.946104079,9.587236366,6.204807627,13.61823347,14.54251788,14.11306475,24.62892101,34.86267769,0,28.27065475,0,26.59811225,413.6538418
1.58963319,0.056494667,4.8424,1.71,187.9702557,1.975961016,1.603661044,1.207553152,1.164708534,1.19020325,0.731948974,0.888314962,1.302278795,1.40534203,1.818101009,1.542213476,1.562141766,0.769757301,1.75913544,0.999354332,3.012135695,3.320120546,3.526222919,9.475359597,2.248547248,7.71106738,6.587540766,15.98251249,22.31305783,18.95071919,26.98256698,12.80617925,35.13355075,0,124.9192916
1.618781498,0.06052728,5.3328,1.7,83.06703247,1.574413672,1.736308381,1.243696834,0.395312781,0.925755239,0.683183076,0.64487984,0.663008089,0.655855752,1.234160386,1.259530938,1.66635943,0.478981622,0.547311176,1.554621043,2.108589739,2.213513165,4.936933934,3.685027657,2.098738408,5.757855715,8.198196906,26.8518276,0,0,0,11.95297109,0,0,194.3276304
1.658875205,0.05928357,5.0742,1.7,153.0018493,1.699297199,1.864427552,1.428511894,1.362170412,0.756141326,1.317529416,1.410875944,1.353834671,0.53569196,1.102545357,2.020785858,1.701317984,1.711605622,1.67637965,1.26978835,2.152825843,3.615920731,2.800281039,6.772204533,5.356919601,7.34831221,6.277640158,6.092256019,17.01069979,12.03947473,25.71321409,36.6111974,0,0,198.4044297
1.695549281,0.05044068,3.6072,1.7,200.255587,2.671937112,1.975749053,1.67894812,1.067317424,1.481170795,1.001976417,1.547672341,1.193384275,1.416612476,2.406551681,0.64774233,1.749633001,1.724290083,1.313513488,0.373099582,4.217072462,4.249837428,5.924170384,3.537536779,12.5921109,19.00044168,17.21577662,28.64122261,9.996445445,21.22522067,10.07368872,14.34320132,0,26.98926376,0
1.73226009,0.05896144,4.1718,1.7,175.2115327,2.632138514,2.120464641,1.875190891,1.21743333,1.393832788,1.090952147,0.851150475,1.134359344,0.80792799,1.266936005,0.923557373,0.213826621,1.72095681,2.528307577,1.595907141,4.329175188,2.726756967,4.504928156,6.052625603,4.308949282,11.82153438,10.51989571,15.31385114,4.275909017,24.21050241,25.85369569,0,16.83183313,23.08893434,159.5907141
1.769338474,0.06502496,4.5472,1.71,188.6032954,1.884232047,1.532613411,1.410912957,0.735939166,0.74682584,0.353293509,0.42876747,0.925723205,1.09888413,1.435994179,1.842360224,1.744987299,1.783404697,1.018908947,1.15767217,1.635618096,2.472489292,4.084847591,4.802195667,7.814287146,5.359593378,11.44670969,5.554339228,19.38592142,16.46467086,23.44286144,22.25240363,45.78683874,0,72.35451061
1.804933404,0.05949897,5.2422,1.7,64.18924523,1.304179527,1.096334495,0.632595712,0.603217352,0.50226928,0.849432718,1.030896715,0.562055615,0.800628947,0.313872539,0,1.271369116,0.974519551,0.556770256,0.632595712,1.787526764,2.702122698,3.906200726,8.996916787,11.7425579,4.393025775,10.42485609,9.105300969,0,0,0,0,0,0,0
1.838700523,0.050555587,4.3708,1.68,119.6118839,2.261945319,1.792053107,1.163286164,0.887409619,1.18224342,0.636172121,0.661780573,1.058374986,1.099305425,1.108191639,0.861693455,1.496276828,2.007099479,1.965792049,0.372251572,2.9452413,1.060044517,3.28372526,8.823740976,2.512698114,3.446773819,7.361420256,3.572015577,19.94744949,21.17697834,0,0,0,26.92792046,139.5943397
1.869086216,0.054738753,4.6852,1.65,179.6924485,2.387527052,2.019226134,1.289264608,0.983511925,0.682434816,0.671491983,1.324281672,1.099680038,1.160338147,0.682335335,0.596881763,1.151608752,3.177798507,2.118159287,1.375215582,1.942974489,2.44758828,5.459005995,1.629885134,4.64135259,7.958423507,6.798856332,13.19616046,13.81729054,19.55862161,18.56541036,13.21697671,0,49.74014692,171.9019478
1.898842484,0.049023847,4.2878,1.64,155.3257336,2.88800489,2.217654525,1.823441857,1.342200273,1.219182372,1.499541001,1.592401466,1.773596003,1.943405137,2.476103193,1.555079556,2.057370253,2.36549816,1.689344015,1.535529985,5.206739586,2.732913474,5.418119329,3.639774779,5.182413699,5.331701336,17.71332807,3.683622468,15.42802759,7.279549558,20.7296548,14.75773276,20.24380351,0,47.98531203
1.929205467,0.047403957,4.0574,1.64,152.4576001,2.067711172,1.376061785,1.538377112,1.19878427,1.103238783,1.163087534,0.941038329,0.846555416,1.172392234,0.787912829,1.148728429,1.329796747,3.975289601,1.04824341,0.397000545,3.141054298,3.39156325,7.004084413,2.823114987,4.019630518,11.02779292,5.233893904,0,15.95523479,30.11322652,0,0,20.93557562,28.71821072,49.62506813
1.959024626,0.049178433,4.3076,1.71,187.6914379,2.878926784,2.100149407,2.056882459,1.398798551,1.215350015,1.027693816,0.907083393,0.544006434,1.775854914,0.949353789,0.885823626,2.05090315,1.473789058,2.02084051,0.382675806,4.325310673,3.814052031,6.076224116,12.6991675,9.040715926,8.858236259,2.522521185,25.70430402,5.126510461,7.256667143,30.99674032,29.4226871,20.18016948,0,95.66895159
1.988960309,0.05420305,4.6794,1.76,129.0358016,1.657647492,1.73831967,0.954804955,0.938052669,0.551343602,0.762894584,0.51437304,0.616971373,1.318281842,1.033618559,1.004634844,1.395588493,0.802301386,0.916754411,1.73600901,1.962177429,3.460489835,7.350611761,6.583974911,2.343612163,8.037078749,13.73210252,3.331645416,9.30256703,6.583974911,18.74889731,13.34760365,18.30947003,0,0
2.024650013,0.054854847,4.7978,1.85,143.35548,1.910942811,1.552504538,1.629612321,0.926906533,1.089584846,1.005106284,1.016522306,1.219280783,0.723676524,0.851114074,0.992697564,2.528177339,2.378304824,0.905861345,0.686152556,2.326634916,2.930889923,1.815817567,3.252871378,3.473647316,1.588316102,18.0919131,23.0444068,4.596015999,13.01148551,18.52611902,13.18900465,18.0919131,0,214.4226738
2.058812708,0.0545919,4.686,1.89,147.9421172,1.970020983,1.825511216,1.766734767,1.095730658,1.231687043,0.673298311,0.714992932,1.470184267,1.308891916,1.026256247,0.797983183,0.923765282,1.593173425,2.123857179,1.034186205,2.337841357,2.945006811,4.257315092,7.354213015,4.653837923,12.76773093,9.089527194,9.923743801,18.47261245,6.537078235,18.61535169,13.25253065,18.17905439,0,172.3643675
2.0900742,0.04683966,4.0908,1.87,175.1361927,2.383263648,2.669226221,2.059139792,1.468642627,1.196282094,1.079008084,1.071422331,0.999546587,1.86452597,1.196107709,1.39508116,1.614980828,1.54737752,0.70724802,2.410700244,5.903663762,5.148634213,7.088465501,8.571378646,4.068056662,9.300541065,18.53932072,26.98775784,10.76496938,7.61900324,10.8481511,15.44590264,21.18779511,0,50.22292175
