Depth (cm),FlowThrough (mL),FlowRate (mL/min),Liquid Conductivity,Dust Concentration,"CPP (≥4.5 µm, ≤10 µm)",x1_1_m (ppb),x1_2_m (ppb),x1_3_m (ppb),x1_4_m (ppb),x1_5_m (ppb),x1_6_m (ppb),x1_7_m (ppb),x1_8_m (ppb),x1_9_m (ppb),x2_0_m (ppb),x2_1_m (ppb),x2_2_m (ppb),x2_3_m (ppb),x2_4_m (ppb),x2_5_m (ppb),x2_7_m (ppb),x2_9_m (ppb),x3_2_m (ppb),x3_6_m (ppb),x4_0_m (ppb),x4_5_m (ppb),x5_1_m (ppb),x5_7_m (ppb),x6_4_m (ppb),x7_2_m (ppb),x8_1_m (ppb),x9_0_m (ppb),x10_0_m (ppb),x12_0_m (ppb),ABK1 (ppb)
2.102960947,0.041482227,1.3928,1.9,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.13694693,0.027792247,1.9828,1.9,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.177717641,0.026112,1.8432,1.9,33.46183982,82.80128446,0.469217653,0,0.090089789,0.343623728,0.143059249,0.35191324,0,0,0.304053039,0,0.417082358,0.482824965,0,0,0.720718315,0,0,0,0,2.432424312,0,0,0,0,0,0,27.70683318,0,0,0
2.207093484,0.01344686,1.1676,1.91,208.6652597,72.09354228,4.454549235,2.829752402,0.874711486,0.88969497,1.944613221,0.683368349,2.488068227,3.481736426,4.133011772,0.694403482,2.429754128,0,2.15600183,3.69535231,1.399538378,6.327484709,0,0,13.26969721,0,6.479344342,9.225472706,13.42955479,0,26.53939443,0,0,0,101.2397553,0
2.290399839,0.030908447,2.6722,1.9,51.18469978,61.05136799,1.673702971,0.879354732,0.684984963,0.387065835,0.241717945,0.743256254,1.443260499,0.649176529,0,0,1.409434081,1.631596128,0.937978381,1.607679794,4.262128662,0,0.866934094,1.074208994,1.443260499,0,0,0,0,8.156791431,23.09216799,0,0,0,0,0
2.38395002,0.03506088,2.4984,1.88,30.49052104,0,1.475478055,0.878569525,0.738049654,0.255917786,0.426180188,0.524182993,0.477123009,0.763055125,0.452894106,1.597942734,0.931880877,0.359589533,0.826888965,0,0,1.213386558,2.292776412,3.787940451,1.272328024,7.246305698,4.970031343,0,0,0,0,0,0,0,0,0
2.414543929,0.044576607,3.8318,1.86,27.2764539,10.2026878,1.221588558,0.894263904,0.633271509,0.335478758,0.754208776,0.412286138,0.250181337,1.350374532,0.356215224,1.256831388,0.244317712,1.414141455,0.650373748,0.3715767,0.844362011,0.954366061,0.60111319,2.234499251,1.000725347,2.849721788,5.863625079,2.782931434,0,0,0,0,0,0,0,0
2.447770799,0.03515737,3.0178,1.86,64.2755628,79.04817788,0.73571429,0.670003388,0.401467672,0.255215415,0.425010529,0.130686091,0.475813537,0.190240227,0.677476696,1.062371435,0.619548876,0.358602634,0.412309777,0,1.070580458,0,2.286483849,1.888772192,0,1.806604522,0,0,15.40945836,7.171007186,0,0,0,28.22819566,0,0
2.47779351,0.020353633,1.7828,1.86,57.75804477,43.22301225,2.140326369,0.979266199,1.040198615,1.175574258,0.183532986,1.128687734,1.095847101,0.985820949,0.390074481,0.91753116,0,0.619423828,1.424387199,0.813792217,0,1.045081235,2.633002745,6.525052477,6.575082606,3.120595846,0,0,0,0,0,24.96476677,0,0,0,0
2.504306233,0.03264377,2.3234,1.86,27.47150168,27.66666414,1.501323082,0.832608759,0.36031754,0.732979292,0.343302545,0.703745195,1.024903224,0.409777795,0.729643018,0,0.667254703,1.931076815,0.88811601,0.507405498,0,1.954847763,0,0,0,1.945714715,5.338037626,7.600448104,0,0,0,0,0,0,0,0
2.535144682,0.01858028,1.5746,1.86,132.3202033,76.84291895,2.63768067,1.267771906,1.012869377,0.482915369,1.608399057,0.989130251,0.900328335,0.359970143,0.427304269,2.512757183,0.58615126,1.357086705,2.340501981,0,0,5.724133398,1.442151906,3.57391077,0,3.418434148,0,6.676629195,9.719193848,27.13777757,19.20700449,0,38.93810147,0,0,126.6086722
2.567822355,0.02933855,2.5698,1.86,53.74418838,61.00105419,1.48485246,0.370563492,0.56127423,0.407777607,0.254652197,0.313211066,0.190061115,0.455942508,0.541228722,0.318268844,0,2.148627911,0,0,0.641456263,2.175076845,0.913323468,1.131689582,6.081955675,0,2.969704919,8.456698774,0,0,24.3278227,0,0,0,0,0
2.597974149,0.016419667,1.4074,1.87,122.9734763,65.22389891,2.487304117,1.213887319,1.432687171,1.092921429,1.137527083,1.119286853,1.358399688,0.814675008,1.450595761,1.137361262,0.663281098,3.839153904,2.648481424,2.017535279,0,2.590941788,3.263840462,4.044190674,2.716799377,7.736510725,0,7.555186255,10.99811261,30.70875409,0,30.9460429,0,0,0,0
2.622535579,0.01340184,1.1756,1.87,62.50553173,42.60190401,2.742655788,1.487230496,1.579769734,0.669512752,1.39367546,1.714159868,0.832142082,0.998123547,1.777240951,0,0.812638752,1.881461871,1.081622179,3.707765886,2.808479527,3.174370125,1.99939607,2.477430815,0,4.739309202,0,0,0,0,26.62854663,0,0,0,0,0
2.657497419,0.049857893,3.5444,1.87,18.66732241,13.32887697,1.010275382,0.472453917,0.377460726,0.419919597,0.524469447,0.276460493,0.335520646,0.402444563,0.955447464,0.749132848,0.436875841,1.01147679,0.581481744,0.664433544,0.754921453,1.706546253,2.149756793,0.665935305,2.684165165,0,0,2.488144436,0,0,0,0,0,0,0,0
2.682447927,0.033552587,2.9008,1.87,24.27406237,52.63535299,1.298362435,0.864060201,0.420669429,0.356562784,0.668007473,0.273873326,0.498571175,0.199339208,0.236626554,0.278295873,0.973771826,1.12726261,0.4320301,0.987323484,0,0,0,0.989555045,0,1.89301243,0,7.394579806,5.382158606,0,0,0,0,0,0,0
