Depth (cm),FlowThrough (mL),FlowRate (mL/min),Liquid Conductivity,Dust Concentration,"CPP (≥4.5 µm, ≤10 µm)",x1_1_m (ppb),x1_2_m (ppb),x1_3_m (ppb),x1_4_m (ppb),x1_5_m (ppb),x1_6_m (ppb),x1_7_m (ppb),x1_8_m (ppb),x1_9_m (ppb),x2_0_m (ppb),x2_1_m (ppb),x2_2_m (ppb),x2_3_m (ppb),x2_4_m (ppb),x2_5_m (ppb),x2_7_m (ppb),x2_9_m (ppb),x3_2_m (ppb),x3_6_m (ppb),x4_0_m (ppb),x4_5_m (ppb),x5_1_m (ppb),x5_7_m (ppb),x6_4_m (ppb),x7_2_m (ppb),x8_1_m (ppb),x9_0_m (ppb),x10_0_m (ppb),x12_0_m (ppb),ABK1 (ppb)
0.951209469,0.029386933,2.548,1.97,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.97576425,0.017734003,1.5266,1.99,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.259636737,0.01623856,1.1544,2.02,55.70916261,69.45122052,0.503008943,0.446336602,0.144866576,0.184185108,0.230042757,0.565885061,0,0,0,0.575023057,2.682714362,0,1.785346408,1.020018301,0,0,0,6.133942554,2.747099507,0,0,7.63944832,0,31.05124505,0,0,0,0,0,0
1.288115104,0.028171753,2.3942,2.02,34.81691362,61.67881337,0.966469357,0.385911214,0.501017715,0.212333318,0.132599596,0.489275112,0.197932924,0.712239593,0.281822465,0.331450666,1.159763228,0.895047272,0,0,1.336047239,0,1.902301635,0,1.583463395,2.254579716,0,8.806952016,0,0,12.66770716,0,0,0,0,0
1.34217588,0.03999288,2.8164,2.02,12.47987346,0,0.578679652,0.135921638,0,0.373929175,0.186811408,0.114884931,0.139427756,0.334476839,0.198521161,0.700440659,0,0,0,0.414164431,1.411706031,0,0,0.830201061,1.115422049,1.588169285,4.35711738,0,0,0,0,0,0,0,0,0
1.372636034,0.025405627,2.2028,2.02,116.018659,69.2265485,2.036224483,0.713214418,0.555567775,1.412711112,0.88222105,1.08509331,1.755868523,1.316311959,1.87504124,1.102615558,1.286036516,1.488748021,2.282286137,2.607867714,1.481514066,0.837263357,0,2.613762048,3.511737045,0,6.858861417,4.882919895,7.108084577,19.84708004,0,20.00043989,28.47718883,0,0,92.59462913
1.406147033,0.014878317,1.049,2.02,148.4444838,48.21490981,3.934473531,2.070356572,1.7392203,1.005120738,2.259668798,1.544052112,1.499125915,0.449536476,2.66812205,2.510377112,1.463990151,0.847375799,5.845712673,4.453092042,1.264887491,1.429677882,1.800982384,11.15789244,5.996503659,17.07598112,5.855960604,8.337881407,12.13748485,16.9450455,0,34.15196224,0,0,0,0
1.43130178,0.017586333,1.5074,2.02,102.6512169,42.11238748,2.477117731,2.060652313,1.471407932,0.680278457,2.548954146,1.567551064,1.585355348,1.901574908,0.902909413,1.592864111,2.477117731,4.301360121,2.472782775,1.883693215,0,6.047650711,0,5.663852283,7.609705671,7.223275305,4.954235463,0,0,14.335777,0,28.89310122,0,0,0,0
1.497818485,0.08561817,2.8974,2.02,32.27933136,53.21384854,0.699614345,0.486756681,0.274757634,0.174665081,0.305413462,0.268318002,0.651277354,0.546828112,0.463653507,0.327181009,0.763215649,0.589011677,0.338613343,0.5803778,0.879224428,1.490655565,0.625932234,0.775586103,2.084087533,0.741845611,2.035241731,5.795668836,8.436776589,2.944629077,0,0,0,0,0,0
1.528141284,0.013935353,1.1996,2.02,108.7094253,33.2844472,3.419180514,1.170238954,0.844049133,1.717014763,1.340318762,1.31882677,0.400141811,0.959910507,0.569733165,3.35030845,1.563053949,2.714145492,0,3.565814513,4.051435837,4.579259618,1.92284943,4.765165347,6.402268977,9.115730633,18.75664739,0,0,36.18333126,0,0,0,0,0,0
1.615863324,0.082249653,2.7616,2.02,43.88337712,46.16432569,0.976539705,0.66090221,0.543419518,0.727273807,0.45417372,0.446891051,0.881335359,0.813176198,0.482642335,0.454107514,0.39723649,0.766418153,0.352481179,1.208294094,0.915232873,1.293087533,0.977350729,1.211025094,3.796521547,3.088910947,3.17789192,7.541286491,6.586727205,6.130451442,0,0,0,0,0,0
1.642723765,0.0283156,2.441,2.02,112.9640671,73.13309792,1.105793512,0.703909688,0.996944968,0.316881958,0.395777921,0.486789535,0.393854802,1.181035549,0.560781545,1.319067426,0.38462383,0.890500323,1.535802955,0,1.329259958,0,3.785275427,1.172573825,3.150838419,4.486252358,6.153981287,8.762211637,12.75518393,0,25.20670735,35.89001886,0,0,0,0
1.75591461,0.02357644,2.0442,2.01,39.78724324,38.50263189,1.905494424,0.230564825,0.399114468,0.126859735,0.475334245,0.779520446,0.473024555,1.1347508,0,1.980270644,1.385814126,1.604253078,1.844518602,1.405100039,0.798228937,0.902222738,1.13654081,1.408275863,3.784196441,2.694022661,0,0,15.3191358,0,0,0,0,0,0,0
1.78060473,0.03824695,3.283,2,96.73295155,70.73565526,1.210191447,0.473754358,0.492049605,0.390998619,0.293008706,0.360387894,0.291584951,0,0.622750281,0.244138327,0.854252786,0.988904382,0,0.866141137,0.492049605,1.668462473,0.700594066,2.6042964,0,6.642669665,9.112029718,3.243491047,0,0,0,13.28533933,0,51.89585676,0,0
1.856617655,0.015565513,1.3694,1.98,173.2918152,77.51747765,2.623794257,1.629726073,1.511305492,0.960745997,1.199948574,0.885530562,2.149412256,0.859380079,0.510065604,1.799660481,1.399356937,3.239861149,0,1.064123491,1.209044394,5.466238036,1.721471412,2.133057271,8.597649022,0,0,7.969775057,46.40652427,16.19694433,0,0,0,63.75820045,0,0
1.969884158,0.03129965,2.679,1.97,16.16222625,0,0.913380602,0.752582121,0.375790876,0.191114017,0.477393594,0.146793311,0.534458135,0.213687566,0.507317683,0.596655004,0,0.805601691,0,0.529195323,0,1.359197324,0.85609859,1.060782833,0,4.058541462,2.783636119,0,0,0,0,0,0,0,0,0
1.996549899,0.015582613,1.3472,1.97,124.8673781,43.27850386,2.708278798,1.511656389,1.207717616,1.919383394,1.678084489,1.474264668,1.07352677,4.292185076,1.019011739,1.19845705,2.795642631,4.04538225,0,4.251822986,2.415435233,1.365059878,3.439164619,2.130716504,11.45095221,4.076046955,16.77385578,7.96102921,23.17779941,0,22.90190443,0,0,0,0,0
2.046945755,0.02410644,2.1146,1.97,90.94336821,38.21505793,1.750655066,1.052313113,0.780679214,1.116635568,0.309922419,1.334168579,1.156561799,1.942154141,0.329349043,2.324079309,1.355345858,1.568982248,1.202643558,4.122623263,3.122716856,1.764773252,5.557765108,2.75462751,5.551496633,2.634792347,14.45702248,5.146078803,0,0,29.60798204,0,0,0,0,0
2.071791778,0.04100149,3.5094,1.97,29.3276402,41.59922019,1.195294254,0.618697587,0.286870621,0.291784608,0.182215968,0.224117673,0,0,0,0.910947032,1.062483781,0.614978894,0,0.403976255,0.917985987,0.518790909,0.653527133,0.809778654,1.087983392,3.098202706,4.249935125,6.05117716,0,6.148892465,0,0,0,0,0,0
2.097300706,0.04187473,3.6786,1.95,22.52418794,19.14614468,1.462960042,0.562524391,0.674131987,0.642824642,0.446040262,0.438888012,0.133161874,0.638890905,0.379199243,0.445975241,0,0.90323153,0.346168856,0.79110377,0,1.52391671,1.279797444,2.378675497,2.130589984,3.033593942,0,0,4.312513611,0,0,0,0,0,0,0
