core,section,ave_depth,ave_depth_adj,y_m,x_m,ID,cut,Li,Rb,Sr,Zr,Mo,Cd,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Tb,Gd,Dy,Ho,Er,Tm,Yb,Lu,Pb,Th,U,Be,W,Na,Mg,Al,P,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,S,Si,K,As,top_depth,bot_depth,top_depth_adj,bot_depth_adj
alhic2302,158,128.9128425,128.9376683943296,0.016,-0.0495,39,stick2,26.328,45.215,143.139,14.363,0.762,0.55,3.059,168.882,17.444,33.563,3.756,13.134,2.527,0.556,0.372,2.223,1.897,0.394,1.056,0.148,0.976,0.142,11.025,6.153,1.196,1.146,3.573,58.153,26.811,24.2,5.609,24.716,755.897,41.308,26.872,504.692,17.51,9.611,39.091,54.739,123.972,57.222,37.754,9.46,4.9,128.905863,128.919822,128.9306888943296,128.9446478943296
alhic2302,158,128.926762,128.95158789432958,0.016,-0.0495,40,stick2,25.068,68.763,124.338,13.625,0.611,0.5,6.74,163.787,27.54,52.233,5.864,21.811,4.786,0.904,0.636,3.96,3.14,0.541,1.374,0.199,1.134,0.178,13.44,10.011,1.269,1.118,2.514,53.092,26.384,23.577,4.378,22.957,553.502,30.157,20.575,532.339,18.646,9.511,35.133,36.846,115.105,63.369,29.511,10.983,3.493,128.919822,128.933702,128.9446478943296,128.9585278943296
alhic2302,158,128.9406805,128.9655063943296,0.016,-0.0495,41,stick2,18.901,17.681,94.785,10.11,0.262,0.317,5.645,154.569,20.19,50.382,5.039,20.254,4.042,0.544,0.508,3.017,3.03,0.515,1.018,0.102,1.013,0.203,11.221,9.052,1.135,1.182,4.361,46.139,17.162,20.87,4.113,19.032,569.377,31.106,28.842,329.343,1.909,5.258,24.505,41.177,134.65,57.302,30.401,4.056,3.052,128.933702,128.94765900000002,128.9585278943296,128.9724848943296
alhic2302,158,128.9546375,128.97946339432957,0.016,-0.0495,42,stick2,26.61,50.234,127.295,51.857,1.575,0.528,4.04,160.434,21.329,44.166,5.106,18.282,4.125,0.848,0.581,3.543,2.942,0.529,1.411,0.192,1.207,0.179,9.457,8.776,1.261,1.146,9.185,63.451,28.323,22.518,6.477,21.922,805.757,32.61,30.436,506.071,15.162,9.693,38.466,33.646,179.194,62.904,33.044,9.138,3.493,128.94765900000002,128.961616,128.9724848943296,128.98644189432957
alhic2302,158,128.968594,128.99341989432958,0.016,-0.0495,43,stick2,22.554,37.559,116.726,15.325,0.591,0.486,3.002,121.285,16.851,31.613,3.551,12.117,2.509,0.52,0.337,2.176,1.895,0.335,0.859,0.135,0.776,0.104,6.724,5.496,1.083,0.433,4.341,66.465,26.334,18.33,5.186,20.794,564.088,24.711,21.087,429.838,11.507,7.749,33.868,29.235,104.566,60.61,25.412,7.567,4.379,128.961616,128.975572,128.98644189432957,129.00039789432958
alhic2302,158,128.9827075,129.00753339432958,0.016,-0.0495,44,stick2,22.76,32.544,126.279,12.029,0.616,0.458,2.672,112.409,15.997,31.057,3.405,12.243,2.365,0.492,0.342,2.087,1.844,0.325,0.879,0.117,0.742,0.103,6.579,5.08,0.877,0.601,2.278,58.534,24.899,17.904,3.648,23.328,503.12,21.805,17.497,433.901,10.505,8.157,31.021,53.283,101.459,63.229,19.104,6.66,3.597,128.975572,128.989843,129.00039789432958,129.0146688943296
alhic2302,158,128.9967955,129.02162139432957,0.016,-0.0495,45,stick2,21.747,35.114,135.378,13.309,0.688,0.585,2.821,145.565,17.971,34.014,3.805,13.564,2.764,0.539,0.362,2.259,1.862,0.345,1.048,0.132,0.788,0.121,10.132,5.899,1.126,0.936,3.523,62.931,29.259,22.08,5.872,26.372,709.247,30.471,18.377,491.153,14.071,8.772,33.032,31.903,92.649,69.142,34.076,8.322,4.64,128.989843,129.003748,129.0146688943296,129.02857389432958
alhic2302,158,129.0108815,129.0357073943296,0.016,-0.0495,46,stick2,20.953,26.299,120.527,11.546,0.467,0.5,2.036,115.604,13.755,25.707,2.833,10.339,2.004,0.436,0.273,1.764,1.51,0.26,0.798,0.106,0.614,0.093,5.668,4.135,0.855,0.685,2.526,56.007,25.461,16.278,4.529,23.695,557.604,23.895,12.965,421.064,10.445,7.372,29.084,26.103,71.727,56.059,19.556,6.537,3.18,129.003748,129.018015,129.02857389432958,129.04284089432957
alhic2302,158,129.0249295,129.0497553943296,0.016,-0.0495,47,stick2,21.439,26.633,137.304,11.213,0.458,0.331,2.143,122.955,82.936,169.36,19.644,70.866,12.696,1.94,0.933,8.085,3.471,0.474,1.157,0.138,0.806,0.116,7.198,7.578,0.975,0.587,2.051,57.177,25.378,17.163,4.841,29.553,594.752,30.041,16.914,439.765,13.29,7.352,28.995,28.948,86.065,63.017,25.616,6.763,3.441,129.018015,129.031844,129.04284089432957,129.0566698943296
alhic2302,158,129.0386995,129.0635253943296,0.016,-0.0495,48,stick2,23.608,37.18,166.18,12.217,0.902,0.55,2.397,163.133,21.606,43.752,5.064,18.895,3.651,0.834,0.546,3.257,2.89,0.556,1.584,0.196,1.197,0.172,10.201,5.543,1.158,0.685,16.63,63.427,31.506,28.723,5.849,36.325,715.205,42.831,31.031,611.28,16.147,14.572,48.776,44.032,110.472,101.947,27.769,8.418,5.526,129.031844,129.045555,129.0566698943296,129.0703808943296
