ID,core,section,cut,sample_number,sampleID,top_depth,bottom_depth,ave_depth,top_depth_adj,bottom_depth_adj,ave_depth_adj,x_m,y_m,dD,d18O,dxs,dln
alhic1901-230_4-r-13,alhic1901,230_4,r,13,alhic1901-230_4-r-13,156.943,156.955,156.949,156.9490622,156.9610622,156.9550622,0.0715,0.082,-294.51,-36.93,0.91,10.21119864
alhic1901-230_4-r-14,alhic1901,230_4,r,14,alhic1901-230_4-r-14,156.955,156.967,156.961,156.9610622,156.9730622,156.9670622,0.0715,0.082,-293.62,-36.85,1.18,10.5904192
alhic1901-230_4-r-15,alhic1901,230_4,r,15,alhic1901-230_4-r-15,156.967,156.979,156.973,156.9730622,156.9850622,156.9790622,0.0715,0.082,-292.24,-36.69,1.3,10.78049748
alhic1901-230_4-r-16,alhic1901,230_4,r,16,alhic1901-230_4-r-16,156.979,156.991,156.985,156.9850622,156.9970622,156.9910622,0.0715,0.082,-291.66,-36.65,1.55,11.15953049
alhic1901-230_4-r-17,alhic1901,230_4,r,17,alhic1901-230_4-r-17,156.991,157.003,156.997,156.9970622,157.0090622,157.0030622,0.0715,0.082,-290.97,-36.59,1.76,11.47320602
alhic1901-230_4-r-18,alhic1901,230_4,r,18,alhic1901-230_4-r-18,157.003,157.015,157.009,157.0090622,157.0210622,157.0150622,0.0715,0.082,-290.98,-36.57,1.58,11.23917414
alhic1901-230_4-r-19,alhic1901,230_4,r,19,alhic1901-230_4-r-19,157.015,157.033,157.024,157.0210622,157.0390622,157.0300622,0.0715,0.082,-290.75,-36.49,1.2,10.6840922
alhic2302-155_2-l-1,alhic2302,155_2,l,1,alhic2302-155_2-l-1,126.384,126.401,126.3925,126.2825184,126.2995184,126.2910184,-0.0305,0.1095,-302.13,-37.94,1.39,10.52078148
alhic2302-155_2-l-2,alhic2302,155_2,l,2,alhic2302-155_2-l-2,126.401,126.413,126.407,126.2995184,126.3115184,126.3055184,-0.0305,0.1095,-300.39,-37.75,1.58,10.90412717
alhic2302-155_2-l-3,alhic2302,155_2,l,3,alhic2302-155_2-l-3,126.413,126.426,126.4195,126.3115184,126.3245184,126.3180184,-0.0305,0.1095,-299.84,-37.73,1.99,11.46835016
alhic2302-155_2-l-4,alhic2302,155_2,l,4,alhic2302-155_2-l-4,126.426,126.44,126.433,126.3245184,126.3385184,126.3315184,-0.0305,0.1095,-299.45,-37.67,1.93,11.3605247
alhic2302-155_2-l-5,alhic2302,155_2,l,5,alhic2302-155_2-l-5,126.44,126.454,126.447,126.3385184,126.3525184,126.3455184,-0.0305,0.1095,-299.54,-37.7,2.05,11.56435604
alhic2302-155_2-l-6,alhic2302,155_2,l,6,alhic2302-155_2-l-6,126.454,126.469,126.4615,126.3525184,126.3675184,126.3600184,-0.0305,0.1095,-299.97,-37.76,2.11,11.61510269
alhic2302-155_2-l-7,alhic2302,155_2,l,7,alhic2302-155_2-l-7,126.469,126.483,126.476,126.3675184,126.3815184,126.3745184,-0.0305,0.1095,-299.96,-37.74,1.93,11.40775264
alhic2302-155_2-l-8,alhic2302,155_2,l,8,alhic2302-155_2-l-8,126.483,126.497,126.49,126.3815184,126.3955184,126.3885184,-0.0305,0.1095,-299.77,-37.7,1.81,11.23594647
alhic2302-155_2-l-9,alhic2302,155_2,l,9,alhic2302-155_2-l-9,126.497,126.512,126.5045,126.3955184,126.4105184,126.4030184,-0.0305,0.1095,-299.97,-37.76,2.08,11.61510269
alhic2302-155_2-l-10,alhic2302,155_2,l,10,alhic2302-155_2-l-10,126.512,126.526,126.519,126.4105184,126.4245184,126.4175184,-0.0305,0.1095,-300.08,-37.8,2.28,11.90131201
alhic2302-155_2-l-11,alhic2302,155_2,l,11,alhic2302-155_2-l-11,126.526,126.541,126.5335,126.4245184,126.4395184,126.4320184,-0.0305,0.1095,-299.94,-37.74,2.01,11.43632203
alhic2302-155_2-l-12,alhic2302,155_2,l,12,alhic2302-155_2-l-12,126.541,126.555,126.548,126.4395184,126.4535184,126.4465184,-0.0305,0.1095,-300.26,-37.82,2.27,11.86582944
alhic2302-155_2-l-13,alhic2302,155_2,l,13,alhic2302-155_2-l-13,126.555,126.569,126.562,126.4535184,126.4675184,126.4605184,-0.0305,0.1095,-300.5,-37.83,2.13,11.63365841
alhic2302-155_2-l-14,alhic2302,155_2,l,14,alhic2302-155_2-l-14,126.569,126.584,126.5765,126.4675184,126.4825184,126.4750184,-0.0305,0.1095,-300.34,-37.8,2.03,11.52977197
alhic2302-155_2-l-15,alhic2302,155_2,l,15,alhic2302-155_2-l-15,126.584,126.598,126.591,126.4825184,126.4965184,126.4895184,-0.0305,0.1095,-300.57,-37.79,1.76,11.09013642
alhic2302-155_2-l-16,alhic2302,155_2,l,16,alhic2302-155_2-l-16,126.598,126.612,126.605,126.4965184,126.5105184,126.5035184,-0.0305,0.1095,-301.6,-37.89,1.54,10.72525635
alhic2302-155_2-l-17,alhic2302,155_2,l,17,alhic2302-155_2-l-17,126.612,126.627,126.6195,126.5105184,126.5255184,126.5180184,-0.0305,0.1095,-302.13,-37.97,1.6,10.85368361
alhic2302-155_2-l-18,alhic2302,155_2,l,18,alhic2302-155_2-l-18,126.627,126.641,126.634,126.5255184,126.5395184,126.5325184,-0.0305,0.1095,-302.5,-38,1.51,10.65632624
alhic2302-155_2-l-19,alhic2302,155_2,l,19,alhic2302-155_2-l-19,126.641,126.655,126.648,126.5395184,126.5535184,126.5465184,-0.0305,0.1095,-302.45,-37.98,1.37,10.50602232
alhic2302-155_2-l-20,alhic2302,155_2,l,20,alhic2302-155_2-l-20,126.655,126.67,126.6625,126.5535184,126.5685184,126.5610184,-0.0305,0.1095,-303.11,-38.06,1.36,10.44752497
alhic2302-155_2-l-21,alhic2302,155_2,l,21,alhic2302-155_2-l-21,126.67,126.684,126.677,126.5685184,126.5825184,126.5755184,-0.0305,0.1095,-303.35,-38.08,1.33,10.32518141
alhic2302-155_2-l-22,alhic2302,155_2,l,22,alhic2302-155_2-l-22,126.684,126.698,126.691,126.5825184,126.5965184,126.5895184,-0.0305,0.1095,-302.67,-38,1.36,10.41256894
alhic2302-155_2-l-23,alhic2302,155_2,l,23,alhic2302-155_2-l-23,126.698,126.713,126.7055,126.5965184,126.6115184,126.6040184,-0.0305,0.1095,-303.17,-38.08,1.46,10.58352742
alhic2302-155_2-l-24,alhic2302,155_2,l,24,alhic2302-155_2-l-24,126.713,126.727,126.72,126.6115184,126.6255184,126.6185184,-0.0305,0.1095,-302.86,-38.01,1.23,10.25106791
alhic2302-155_2-l-25,alhic2302,155_2,l,25,alhic2302-155_2-l-25,126.727,126.742,126.7345,126.6255184,126.6405184,126.6330184,-0.0305,0.1095,-302.85,-38.03,1.36,10.48744195
alhic2302-155_2-l-26,alhic2302,155_2,l,26,alhic2302-155_2-l-26,126.742,126.756,126.749,126.6405184,126.6545184,126.6475184,-0.0305,0.1095,-302.82,-38.05,1.57,10.75253244
alhic2302-155_2-l-27,alhic2302,155_2,l,27,alhic2302-155_2-l-27,126.756,126.77,126.763,126.6545184,126.6685184,126.6615184,-0.0305,0.1095,-301.51,-37.89,1.57,10.85411403
alhic2302-155_2-l-28,alhic2302,155_2,l,28,alhic2302-155_2-l-28,126.77,126.785,126.7775,126.6685184,126.6835184,126.6760184,-0.0305,0.1095,-301.31,-37.86,1.56,10.80767833
alhic2302-155_2-l-29,alhic2302,155_2,l,29,alhic2302-155_2-l-29,126.785,126.799,126.792,126.6835184,126.6975184,126.6905184,-0.0305,0.1095,-299.57,-37.64,1.58,10.85697171
alhic2302-155_2-l-30,alhic2302,155_2,l,30,alhic2302-155_2-l-30,126.799,126.813,126.806,126.6975184,126.7115184,126.7045184,-0.0305,0.1095,-298.08,-37.49,1.86,11.32174139
alhic2302-155_2-l-31,alhic2302,155_2,l,31,alhic2302-155_2-l-31,126.813,126.828,126.8205,126.7115184,126.7265184,126.7190184,-0.0305,0.1095,-297.2,-37.4,2,11.57930761
alhic2302-155_2-l-32,alhic2302,155_2,l,32,alhic2302-155_2-l-32,126.828,126.842,126.835,126.7265184,126.7405184,126.7335184,-0.0305,0.1095,-295.82,-37.18,1.64,11.1103613
alhic2302-155_2-l-33,alhic2302,155_2,l,33,alhic2302-155_2-l-33,126.842,126.856,126.849,126.7405184,126.7545184,126.7475184,-0.0305,0.1095,-295.94,-37.22,1.83,11.38159952
alhic2302-155_2-l-34,alhic2302,155_2,l,34,alhic2302-155_2-l-34,126.856,126.871,126.8635,126.7545184,126.7695184,126.7620184,-0.0305,0.1095,-295.38,-37.13,1.63,11.1830909
alhic2302-155_2-l-35,alhic2302,155_2,l,35,alhic2302-155_2-l-35,126.871,126.885,126.878,126.7695184,126.7835184,126.7765184,-0.0305,0.1095,-294.95,-37.08,1.73,11.24142964
