,Latitude,Longitude
1,-76.73155,159.35400
2,-76.73225,159.35369
3,-76.73289,159.35496
4,-76.73330,159.35746
5,-76.73337,159.36052
6,-76.73308,159.36332
7,-76.73251,159.36511
8,-76.73181,159.36541
9,-76.73116,159.36414
10,-76.73075,159.36164
11,-76.73068,159.35859
12,-76.73097,159.35579
