Top Depth,Bottom Depth,dD_vsmow,d18O_vsmow,dxs_vsmow,Sample ID,Mid Depth
54.52,55.31,-305.18,-38.31,1.32,ALHIC2401_78,54.915000000000006
55.31,56.120000000000005,-307.87,-38.42,-0.53,ALHIC2401_79,55.715
56.120000000000005,56.870000000000005,-305.52,-38.3,0.88,ALHIC2401_80,56.495000000000005
56.870000000000005,57.66,-306.98,-38.42,0.41,ALHIC2401_81,57.265
57.66,58.42,-307.96,-38.62,1.01,ALHIC2401_82,58.04
58.42,59.21,-310.26,-38.78,-0.05,ALHIC2401_83,58.815
59.21,59.95,-312.81,-38.97,-1.06,ALHIC2401_84,59.58
59.95,60.74,-306.84,-38.39,0.3,ALHIC2401_85,60.345
60.74,61.52,-307.85,-38.63,1.22,ALHIC2401_86,61.13
61.650000000000006,62.56,-302.99,-38.24,2.94,ALHIC2401_88,62.105000000000004
62.56,63.29,-300.98,-37.87,1.98,ALHIC2401_89,62.925
63.29,64.03,-298.64,-37.62,2.32,ALHIC2401_90,63.66
64.03,64.67,-302.31,-38.18,3.14,ALHIC2401_91,64.35
64.67,65.44,-311.47,-39.41,3.8,ALHIC2401_92,65.055
65.44,66.13,-313.29,-39.51,2.82,ALHIC2401_93,65.785
66.13,66.82,-314.33,-39.51,1.78,ALHIC2401_94,66.475
66.82,67.44999999999999,-318.95,-40.06,1.52,ALHIC2401_95,67.13499999999999
67.44999999999999,68.27999999999999,-307.76,-38.67,1.6,ALHIC2401_96,67.86499999999998
68.27999999999999,69.02999999999999,-300.99,-37.94,2.52,ALHIC2401_97,68.65499999999999
69.02999999999999,69.83999999999999,-303.28,-38.07,1.25,ALHIC2401_98,69.43499999999999
69.83999999999999,70.50999999999999,-317.14,-39.83,1.47,ALHIC2401_99,70.17499999999998
70.50999999999999,71.19999999999999,-320.4,-40.38,2.63,ALHIC2401_100,70.85499999999999
71.19999999999999,71.40999999999998,-318.22,-40.11,2.63,ALHIC2401_101,71.30499999999998
71.40999999999998,72.04999999999998,-315.56,-39.76,2.5,ALHIC2401_102,71.72999999999999
72.04999999999998,72.28999999999998,-309.37,-38.85,1.45,ALHIC2401_103,72.16999999999999
72.28999999999998,73.04999999999997,-312.77,-39.33,1.91,ALHIC2401_104,72.66999999999997
73.04999999999997,73.78999999999996,-325.22,-41.31,5.23,ALHIC2401_105,73.41999999999996
73.78999999999996,74.48999999999997,-325.62,-41.25,4.37,ALHIC2401_106,74.13999999999996
74.48999999999997,74.90999999999997,-323.56,-41.07,4.97,ALHIC2401_107,74.69999999999996
74.90999999999997,75.74999999999997,-312.27,-39.43,3.2,ALHIC2401_108,75.32999999999997
75.74999999999997,76.56999999999996,-329.01,-41.6,3.79,ALHIC2401_109,76.15999999999997
76.56999999999996,77.39999999999996,-337.21,-42.89,5.94,ALHIC2401_110,76.98499999999996
77.39999999999996,77.95999999999997,-337.54,-42.91,5.78,ALHIC2401_111,77.67999999999996
77.95999999999997,78.74999999999997,-336.4,-42.81,6.09,ALHIC2401_112,78.35499999999996
78.74999999999997,79.55999999999997,-338.51,-43.01,5.53,ALHIC2401_113,79.15499999999997
79.55999999999997,80.40999999999997,-322.29,-41.01,5.78,ALHIC2401_114,79.98499999999997
80.40999999999997,81.32999999999997,-312.43,-39.82,6.13,ALHIC2401_115,80.86999999999998
81.32999999999997,81.99999999999997,-320.91,-41.09,7.83,ALHIC2401_116,81.66499999999996
81.99999999999997,82.79999999999997,-320.39,-41.13,8.65,ALHIC2401_117,82.39999999999998
82.79999999999997,83.56999999999996,-317.83,-40.64,7.29,ALHIC2401_118,83.18499999999997
83.56999999999996,84.28999999999996,-314.22,-40.09,6.47,ALHIC2401_119,83.92999999999996
84.28999999999996,85.04999999999997,-315.13,-39.92,4.25,ALHIC2401_120,84.66999999999996
85.04999999999997,85.67999999999996,-316.57,-40.14,4.54,ALHIC2401_121,85.36499999999997
85.67999999999996,86.36999999999996,-310.22,-39.21,3.42,ALHIC2401_122,86.02499999999996
86.36999999999996,86.94999999999996,-319.99,-40.27,2.19,ALHIC2401_123,86.65999999999997
86.94999999999996,87.19999999999996,-276.46,-35.03,3.78,ALHIC2401_124,87.07499999999996
87.19999999999996,87.22999999999996,-261.69,-33.28,4.59,ALHIC2401_125,87.21499999999996
87.22999999999996,88.67999999999996,-259.81,-33.02,4.35,ALHIC2401_126,87.95499999999996
88.67999999999996,89.46999999999997,-257.77,-32.75,4.2,ALHIC2401_127,89.07499999999996
