,section,depth,AC-mean-angle,AC-tr-mean-angle,AC-r-mean-angle
0,155_2,126.69986875000001,46.08215220586254,29.86829782807266,38.99954767070249
1,156_2,128.03067187500002,50.943304527187955,50.02198096733781,2.680143842618319
2,158,128.92844218750002,51.29982102570701,-35.096372088874546,-15.832074222945502
3,159_3,130.04104531250002,39.91715109180716,-35.753840786207604,-22.753172726251623
