section,depth,AC-mean-angle,AC-tr-mean-angle,AC-r-mean-angle
155_2,126.69986875000001,45.54903106330342,28.93522386913762,37.81890697417684
156_2,128.03054687499997,51.36867482831206,50.30309066719668,4.125149634745194
158,128.92844218750002,,-34.761432391368565,9.951500296316848
159_3,130.04104531249996,39.686620292418674,-34.83506252629216,-21.603024055513426
